jump,run_fire,timestamp_ns,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal
0,0,1957386800,0,0,0,0,0,0,0,0,0,0
0,0,2067399500,0,0,0,0,0,0,0,0,0,0
0,0,2177281100,0,0,0,0,0,0,0,0,0,0
0,0,2287331900,0,0,0,0,0,0,0,0,0,0
0,0,2401827200,38,0,0,0,0,0,0,0,0,0
0,0,2511421800,37,0,0,0,0,0,0,0,0,0
0,0,2621867300,37,0,0,0,0,0,0,0,0,0
0,0,2731769600,38,0,0,0,0,0,0,0,0,0
0,0,2841300400,37,0,0,0,0,0,0,0,0,0
0,0,2952240200,37,0,0,0,0,0,0,0,0,0
0,0,3059735300,37,0,0,0,0,0,0,0,0,0
0,0,3169982400,37,0,0,0,0,0,0,0,0,0
0,0,3280546200,37,0,0,0,0,0,0,0,0,0
0,0,3390046400,37,2,1,0,0,0,0,0,1,25
0,0,3500044900,37,2,1,0,0,0,0,0,1,25
0,0,3609596800,37,2,1,0,0,0,0,0,1,25
0,0,3795907900,37,2,1,0,0,0,0,0,1,25
0,0,3905393000,37,2,1,0,0,0,0,0,1,25
0,0,4013151600,38,2,1,0,0,0,0,0,1,25
0,0,4122905900,38,2,1,0,0,0,0,0,1,25
0,0,4231357000,38,2,1,0,0,0,0,0,1,25
0,0,4340144200,13,33,2,0,0,1,1,1,0,25
0,0,4447475500,276,33,2,0,0,1,1,1,0,25
0,0,4556200800,550,33,2,0,0,1,1,1,0,25
0,0,4666332800,-246,33,2,0,0,1,1,1,0,25
0,0,4776134400,119,33,2,0,0,1,1,1,0,25
0,0,4886746800,164,33,2,0,0,1,1,1,0,25
0,0,4997346100,144,33,2,0,0,1,1,1,0,25
0,0,5107973100,74,33,2,0,0,1,1,1,0,25
0,0,5216442100,91,33,2,0,0,1,1,1,0,25
0,0,5324587700,149,268054,42005,29516,6786,19672,5610,5321,6829,0
0,0,5434321600,34,268054,42005,29516,6786,19672,5610,5321,6829,0
0,0,5542990800,82,268054,42005,29516,6786,19672,5610,5321,6829,0
1,0,5652383200,73,268054,42005,29516,6786,19672,5610,5321,6829,0
1,0,5760167800,73,268054,42005,29516,6786,19672,5610,5321,6829,0
0,0,5869988100,34,268054,42005,29516,6786,19672,5610,5321,6829,0
0,0,5978341800,97,268054,42005,29516,6786,19672,5610,5321,6829,0
0,0,6087929500,-13,268054,42005,29516,6786,19672,5610,5321,6829,0
0,0,6196994400,45,268054,42005,29516,6786,19672,5610,5321,6829,0
0,0,6306148400,50,268054,42005,29516,6786,19672,5610,5321,6829,0
0,0,6416771000,-53,26669,11228,3133,17007,10740,8336,3089,8691,0
0,0,6526601500,-52,26669,11228,3133,17007,10740,8336,3089,8691,0
0,0,6639643300,51,26669,11228,3133,17007,10740,8336,3089,8691,0
0,0,6751494800,80,26669,11228,3133,17007,10740,8336,3089,8691,0
1,0,6861977600,65,26669,11228,3133,17007,10740,8336,3089,8691,0
0,0,6971432700,54,26669,11228,3133,17007,10740,8336,3089,8691,0
0,0,7082520400,53,26669,11228,3133,17007,10740,8336,3089,8691,0
0,0,7190886000,-20,26669,11228,3133,17007,10740,8336,3089,8691,0
0,0,7301797100,12,26669,11228,3133,17007,10740,8336,3089,8691,0
0,0,7410175000,37,229920,89906,2083,34475,8713,6605,10836,11001,0
0,0,7521411900,38,229920,89906,2083,34475,8713,6605,10836,11001,0
0,0,7630670300,19,229920,89906,2083,34475,8713,6605,10836,11001,0
0,0,7741092100,70,229920,89906,2083,34475,8713,6605,10836,11001,0
0,0,7852121700,57,229920,89906,2083,34475,8713,6605,10836,11001,0
1,0,7960793700,432,229920,89906,2083,34475,8713,6605,10836,11001,0
1,0,8070122500,-217,229920,89906,2083,34475,8713,6605,10836,11001,0
1,0,8179294400,-56,229920,89906,2083,34475,8713,6605,10836,11001,0
1,0,8289641200,37,229920,89906,2083,34475,8713,6605,10836,11001,0
0,0,8398514500,81,160250,78741,53058,13919,24133,14745,12386,14802,0
0,0,8507347600,68,160250,78741,53058,13919,24133,14745,12386,14802,0
0,0,8617323500,70,160250,78741,53058,13919,24133,14745,12386,14802,0
0,0,8727106000,8,160250,78741,53058,13919,24133,14745,12386,14802,0
0,0,8835740300,51,160250,78741,53058,13919,24133,14745,12386,14802,0
0,0,8944585500,18,160250,78741,53058,13919,24133,14745,12386,14802,0
1,0,9053267800,34,160250,78741,53058,13919,24133,14745,12386,14802,0
1,0,9163037400,16,160250,78741,53058,13919,24133,14745,12386,14802,0
0,0,9272668800,17,160250,78741,53058,13919,24133,14745,12386,14802,0
0,0,9385179200,41,17548,28924,14928,13431,4790,6551,3145,4299,0
0,0,9494897700,48,17548,28924,14928,13431,4790,6551,3145,4299,0
0,0,9605317100,-3,17548,28924,14928,13431,4790,6551,3145,4299,0
0,0,9713825500,12,17548,28924,14928,13431,4790,6551,3145,4299,0
0,0,9823681500,81,17548,28924,14928,13431,4790,6551,3145,4299,0
0,0,9935361200,48,17548,28924,14928,13431,4790,6551,3145,4299,0
0,0,10045226400,49,17548,28924,14928,13431,4790,6551,3145,4299,0
0,0,10155230800,40,17548,28924,14928,13431,4790,6551,3145,4299,0
0,0,10267067100,37,17548,28924,14928,13431,4790,6551,3145,4299,0
0,0,10376258700,51,38338,20228,16287,8841,9759,7058,4648,6922,0
0,0,10486923100,43,38338,20228,16287,8841,9759,7058,4648,6922,0
0,0,10595278000,37,38338,20228,16287,8841,9759,7058,4648,6922,0
0,0,10704793800,40,38338,20228,16287,8841,9759,7058,4648,6922,0
0,0,10815327800,-4,38338,20228,16287,8841,9759,7058,4648,6922,0
0,0,10924725400,87,38338,20228,16287,8841,9759,7058,4648,6922,0
0,0,11033550300,42,38338,20228,16287,8841,9759,7058,4648,6922,0
0,0,11144300800,21,38338,20228,16287,8841,9759,7058,4648,6922,0
0,0,11253769800,60,38338,20228,16287,8841,9759,7058,4648,6922,0
0,0,11365614100,60,4254,22567,14332,9158,1206,13172,4420,12221,0
0,0,11473933900,88,4254,22567,14332,9158,1206,13172,4420,12221,0
1,0,11584133100,-56,4254,22567,14332,9158,1206,13172,4420,12221,0
1,0,11692765600,24,4254,22567,14332,9158,1206,13172,4420,12221,0
1,0,11802326700,6,4254,22567,14332,9158,1206,13172,4420,12221,0
1,0,11912877300,58,4254,22567,14332,9158,1206,13172,4420,12221,0
1,0,12024366500,53,4254,22567,14332,9158,1206,13172,4420,12221,0
1,0,12136078000,25,4254,22567,14332,9158,1206,13172,4420,12221,0
1,0,12245922100,51,4254,22567,14332,9158,1206,13172,4420,12221,0
1,0,12355274100,81,5127,14078,3482,19671,7420,11424,5516,9233,0
0,0,12467691200,23,5127,14078,3482,19671,7420,11424,5516,9233,0
0,0,12576888800,80,5127,14078,3482,19671,7420,11424,5516,9233,0
0,0,12686538900,3,5127,14078,3482,19671,7420,11424,5516,9233,0
0,0,12797243300,54,5127,14078,3482,19671,7420,11424,5516,9233,0
0,0,12905789300,18,5127,14078,3482,19671,7420,11424,5516,9233,0
0,0,13016794000,40,5127,14078,3482,19671,7420,11424,5516,9233,0
0,0,13126616700,6,5127,14078,3482,19671,7420,11424,5516,9233,0
0,0,13236759200,18,5127,14078,3482,19671,7420,11424,5516,9233,0
0,0,13345446700,74,151589,142534,32125,28962,5829,38321,4221,10531,0
0,0,13454702000,113,151589,142534,32125,28962,5829,38321,4221,10531,0
0,0,13565070100,1,151589,142534,32125,28962,5829,38321,4221,10531,0
1,0,13671875600,58,151589,142534,32125,28962,5829,38321,4221,10531,0
1,0,13780291500,-17,151589,142534,32125,28962,5829,38321,4221,10531,0
1,0,13888004500,9,151589,142534,32125,28962,5829,38321,4221,10531,0
1,0,13998599400,44,151589,142534,32125,28962,5829,38321,4221,10531,0
1,0,14107794900,73,151589,142534,32125,28962,5829,38321,4221,10531,0
1,0,14216739300,59,151589,142534,32125,28962,5829,38321,4221,10531,0
1,0,14326300800,6,10557,19990,35955,47436,26564,7174,3964,10117,0
0,0,14436018000,42,10557,19990,35955,47436,26564,7174,3964,10117,0
0,0,14545632900,55,10557,19990,35955,47436,26564,7174,3964,10117,0
1,0,14654658500,33,10557,19990,35955,47436,26564,7174,3964,10117,0
1,0,14764593100,8,10557,19990,35955,47436,26564,7174,3964,10117,0
