space_is_pressed,timestamp_ns,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal
0,2204698400,0,0,0,0,0,0,0,0,0,0
0,2236402900,0,0,0,0,0,0,0,0,0,0
0,2267705700,0,0,0,0,0,0,0,0,0,0
0,2298853400,0,0,0,0,0,0,0,0,0,0
0,2329916700,0,0,0,0,0,0,0,0,0,0
0,2360834900,0,0,0,0,0,0,0,0,0,0
0,2393486000,0,0,0,0,0,0,0,0,0,0
0,2426412800,0,0,0,0,0,0,0,0,0,0
0,2455778400,0,0,0,0,0,0,0,0,0,0
0,2487407900,0,0,0,0,0,0,0,0,0,0
0,2519316300,0,0,0,0,0,0,0,0,0,0
0,2551230500,0,0,0,0,0,0,0,0,0,0
0,2583146300,0,0,0,0,0,0,0,0,0,0
0,2614062700,0,0,0,0,0,0,0,0,0,0
0,2643983900,-459,0,0,0,0,0,0,0,0,0
0,2676900500,-406,0,0,0,0,0,0,0,0,0
0,2708813400,-378,0,0,0,0,0,0,0,0,0
0,2739726500,-242,0,0,0,0,0,0,0,0,0
1,2771053700,-116,0,0,0,0,0,0,0,0,0
1,2802968400,-90,0,0,0,0,0,0,0,0,0
1,2834842800,-124,0,0,0,0,0,0,0,0,0
0,2866797900,-27,0,0,0,0,0,0,0,0,0
0,2897788600,-13,0,0,0,0,0,0,0,0,0
0,2929673400,7,0,0,0,0,0,0,0,0,0
0,2961551600,82,0,0,0,0,0,0,0,0,0
0,2996457400,60,0,0,0,0,0,0,0,0,0
0,3026887100,-3,0,0,0,0,0,0,0,0,0
0,3056807800,1,0,0,0,0,0,0,0,0,0
0,3088721700,-14,0,0,0,0,0,0,0,0,0
0,3120147400,6,0,0,0,0,0,0,0,0,0
0,3152061500,182,0,0,0,0,0,0,0,0,0
0,3183975600,481,0,0,0,0,0,0,0,0,0
0,3215895600,259,0,0,0,0,0,0,0,0,0
0,3246550700,48,0,0,0,0,0,0,0,0,0
0,3277468800,-278,0,0,0,0,0,0,0,0,0
0,3309393700,-305,0,0,0,0,0,0,0,0,0
0,3340827400,-269,0,0,0,0,0,0,0,0,0
0,3372705600,-249,0,0,0,0,0,0,0,0,0
0,3402800700,-164,0,0,0,0,0,0,0,0,0
0,3434192600,12,0,0,0,0,0,0,0,0,0
0,3465664500,-93,0,0,0,0,0,0,0,0,0
0,3497059700,109,0,0,0,0,0,0,0,0,0
0,3528015600,54,0,0,0,0,0,0,0,0,0
0,3558125300,129,0,0,0,0,0,0,0,0,0
0,3590039300,83,0,0,0,0,0,0,0,0,0
0,3621901000,72,0,0,0,0,0,0,0,0,0
0,3654175000,80,1934810,190326,28125,4013,12423,3139,1980,698,0
0,3686152300,133,1934810,190326,28125,4013,12423,3139,1980,698,0
0,3716472400,41,1934810,190326,28125,4013,12423,3139,1980,698,0
0,3748024800,90,1934810,190326,28125,4013,12423,3139,1980,698,0
0,3779943900,44,1934810,190326,28125,4013,12423,3139,1980,698,0
0,3811640900,55,1934810,190326,28125,4013,12423,3139,1980,698,0
0,3841706400,27,1934810,190326,28125,4013,12423,3139,1980,698,0
0,3873707700,74,1934810,190326,28125,4013,12423,3139,1980,698,0
0,3904465700,41,1934810,190326,28125,4013,12423,3139,1980,698,0
0,3935387500,54,1934810,190326,28125,4013,12423,3139,1980,698,0
0,3966296400,56,1934810,190326,28125,4013,12423,3139,1980,698,0
0,3998219600,171,1934810,190326,28125,4013,12423,3139,1980,698,0
0,4029476600,98,1934810,190326,28125,4013,12423,3139,1980,698,0
0,4059419500,-2,1934810,190326,28125,4013,12423,3139,1980,698,0
0,4092330800,0,1934810,190326,28125,4013,12423,3139,1980,698,0
0,4122794500,26,1934810,190326,28125,4013,12423,3139,1980,698,0
0,4154671600,35,1934810,190326,28125,4013,12423,3139,1980,698,0
0,4186681400,3,1934810,190326,28125,4013,12423,3139,1980,698,0
0,4218536100,80,1934810,190326,28125,4013,12423,3139,1980,698,0
0,4250451800,96,1934810,190326,28125,4013,12423,3139,1980,698,0
1,4282425500,-76,1934810,190326,28125,4013,12423,3139,1980,698,0
1,4314317400,75,1934810,190326,28125,4013,12423,3139,1980,698,0
1,4345197600,60,1934810,190326,28125,4013,12423,3139,1980,698,0
1,4376124000,57,1934810,190326,28125,4013,12423,3139,1980,698,0
0,4409028700,21,1934810,190326,28125,4013,12423,3139,1980,698,0
0,4440032800,68,1934810,190326,28125,4013,12423,3139,1980,698,0
0,4471861200,121,1934810,190326,28125,4013,12423,3139,1980,698,0
0,4503818500,83,1934810,190326,28125,4013,12423,3139,1980,698,0
0,4534693400,82,1934810,190326,28125,4013,12423,3139,1980,698,0
0,4566605000,27,1934810,190326,28125,4013,12423,3139,1980,698,0
0,4598256100,-23,1934810,190326,28125,4013,12423,3139,1980,698,0
0,4629120400,72,43957,45612,43710,29924,21006,15378,11107,2718,0
0,4660037900,64,43957,45612,43710,29924,21006,15378,11107,2718,0
0,4691954300,9,43957,45612,43710,29924,21006,15378,11107,2718,0
0,4723871300,52,43957,45612,43710,29924,21006,15378,11107,2718,0
0,4754783700,104,43957,45612,43710,29924,21006,15378,11107,2718,0
0,4785701000,35,43957,45612,43710,29924,21006,15378,11107,2718,0
0,4817616000,119,43957,45612,43710,29924,21006,15378,11107,2718,0
0,4849530300,28,43957,45612,43710,29924,21006,15378,11107,2718,0
