space_is_pressed,timestamp_ns,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal
0,4738310200,0,0,0,0,0,0,0,0,0,0
0,4770225800,0,0,0,0,0,0,0,0,0,0
0,4800145200,0,0,0,0,0,0,0,0,0,0
0,4831064600,0,0,0,0,0,0,0,0,0,0
0,4863976800,0,0,0,0,0,0,0,0,0,0
0,4893428900,0,0,0,0,0,0,0,0,0,0
0,4925081200,0,0,0,0,0,0,0,0,0,0
0,4956364900,0,0,0,0,0,0,0,0,0,0
0,4988279800,0,0,0,0,0,0,0,0,0,0
0,5020194800,0,0,0,0,0,0,0,0,0,0
0,5050114500,0,0,0,0,0,0,0,0,0,0
1,5081034700,0,0,0,0,0,0,0,0,0,0
1,5112948700,0,0,0,0,0,0,0,0,0,0
1,5144775800,0,0,0,0,0,0,0,0,0,0
0,5176793200,0,0,0,0,0,0,0,0,0,0
0,5208428100,37,0,0,0,0,0,0,0,0,0
0,5239385600,38,0,0,0,0,0,0,0,0,0
0,5271009700,38,0,0,0,0,0,0,0,0,0
0,5300958300,38,0,0,0,0,0,0,0,0,0
0,5334069700,38,0,0,0,0,0,0,0,0,0
0,5364986700,38,0,0,0,0,0,0,0,0,0
0,5394971500,38,0,0,0,0,0,0,0,0,0
0,5425885900,38,0,0,0,0,0,0,0,0,0
0,5456803000,39,0,0,0,0,0,0,0,0,0
0,5487720600,38,0,0,0,0,0,0,0,0,0
0,5519635300,38,0,0,0,0,0,0,0,0,0
0,5549555600,38,0,0,0,0,0,0,0,0,0
0,5581549000,39,0,0,0,0,0,0,0,0,0
0,5614462700,39,0,0,0,0,0,0,0,0,0
0,5644413700,39,0,0,0,0,0,0,0,0,0
0,5675125200,39,0,0,0,0,0,0,0,0,0
0,5706186100,38,0,0,0,0,0,0,0,0,0
1,5737102300,40,0,0,0,0,0,0,0,0,0
1,5768038000,39,0,0,0,0,0,0,0,0,0
1,5800847300,39,0,0,0,0,0,0,0,0,0
1,5830774100,39,0,0,0,0,0,0,0,0,0
1,5866672500,40,0,0,0,0,0,0,0,0,0
0,5893492100,43,0,0,0,0,0,0,0,0,0
0,5924395400,52,0,0,0,0,0,0,0,0,0
0,5955312700,58,0,0,0,0,0,0,0,0,0
0,5987227400,84,0,0,0,0,0,0,0,0,0
0,6019142100,75,0,0,0,0,0,0,0,0,0
0,6049061700,87,0,0,0,0,0,0,0,0,0
0,6079982400,81,0,0,0,0,0,0,0,0,0
0,6110896300,89,0,0,0,0,0,0,0,0,0
0,6140560400,71,0,0,0,0,0,0,0,0,0
0,6171985000,82,0,0,0,0,0,0,0,0,0
0,6203861800,120,43420,1265,676,183,398,295,150,28,25
0,6235777400,100,43420,1265,676,183,398,295,150,28,25
0,6266388000,115,43420,1265,676,183,398,295,150,28,25
0,6298243000,144,43420,1265,676,183,398,295,150,28,25
0,6330158800,103,43420,1265,676,183,398,295,150,28,25
0,6363124200,146,43420,1265,676,183,398,295,150,28,25
0,6394038900,125,43420,1265,676,183,398,295,150,28,25
0,6425955100,147,43420,1265,676,183,398,295,150,28,25
0,6458865300,88,43420,1265,676,183,398,295,150,28,25
0,6488784500,224,43420,1265,676,183,398,295,150,28,25
0,6520699300,135,43420,1265,676,183,398,295,150,28,25
0,6552614300,138,43420,1265,676,183,398,295,150,28,25
0,6582533800,119,43420,1265,676,183,398,295,150,28,25
0,6613453500,165,43420,1265,676,183,398,295,150,28,25
0,6644369700,183,43420,1265,676,183,398,295,150,28,25
0,6676287600,154,43420,1265,676,183,398,295,150,28,25
0,6708198600,210,43420,1265,676,183,398,295,150,28,25
0,6738307200,169,43420,1265,676,183,398,295,150,28,25
1,6770220800,212,43420,1265,676,183,398,295,150,28,25
1,6801140300,165,43420,1265,676,183,398,295,150,28,25
1,6831061100,135,43420,1265,676,183,398,295,150,28,25
1,6863970800,135,43420,1265,676,183,398,295,150,28,25
