space_is_pressed,timestamp_ns,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal
0,1027386500,0,0,0,0,0,0,0,0,0,0
0,1089908100,0,0,0,0,0,0,0,0,0,0
0,1152032400,0,0,0,0,0,0,0,0,0,0
0,1214840200,0,0,0,0,0,0,0,0,0,0
0,1277427200,0,0,0,0,0,0,0,0,0,0
0,1340068000,0,0,0,0,0,0,0,0,0,0
0,1402423600,0,0,0,0,0,0,0,0,0,0
0,1464879800,0,0,0,0,0,0,0,0,0,0
0,1542569400,-11,0,0,0,0,0,0,0,0,0
0,1605385900,82,0,0,0,0,0,0,0,0,0
0,1668036500,-62,0,0,0,0,0,0,0,0,0
0,1730026900,-174,0,0,0,0,0,0,0,0,0
0,1792545100,-203,0,0,0,0,0,0,0,0,0
0,1854992900,-131,0,0,0,0,0,0,0,0,0
0,1917476100,38,0,0,0,0,0,0,0,0,0
0,1979961900,50,0,0,0,0,0,0,0,0,0
0,2042446700,9,0,0,0,0,0,0,0,0,0
0,2104934200,-77,0,0,0,0,0,0,0,0,0
0,2167420200,40,0,0,0,0,0,0,0,0,0
0,2229904600,56,0,0,0,0,0,0,0,0,0
0,2292388100,-10,0,0,0,0,0,0,0,0,0
0,2354873500,8,0,0,0,0,0,0,0,0,0
0,2417371600,72,0,0,0,0,0,0,0,0,0
0,2479847900,-53,133076,143156,33078,12636,10622,8545,1965,2047,0
0,2542744000,-135,133076,143156,33078,12636,10622,8545,1965,2047,0
0,2605241100,-11,133076,143156,33078,12636,10622,8545,1965,2047,0
0,2667306900,64,133076,143156,33078,12636,10622,8545,1965,2047,0
0,2730449400,4,133076,143156,33078,12636,10622,8545,1965,2047,0
0,2792693100,59,133076,143156,33078,12636,10622,8545,1965,2047,0
0,2854770900,-5,133076,143156,33078,12636,10622,8545,1965,2047,0
0,2917689100,-54,133076,143156,33078,12636,10622,8545,1965,2047,0
0,2980150400,-25,133076,143156,33078,12636,10622,8545,1965,2047,0
0,3042218200,21,133076,143156,33078,12636,10622,8545,1965,2047,0
0,3105120000,38,133076,143156,33078,12636,10622,8545,1965,2047,0
0,3167438700,35,133076,143156,33078,12636,10622,8545,1965,2047,0
0,3230125000,8,133076,143156,33078,12636,10622,8545,1965,2047,0
0,3292571500,54,133076,143156,33078,12636,10622,8545,1965,2047,0
0,3354640600,39,133076,143156,33078,12636,10622,8545,1965,2047,0
0,3417166100,74,133076,143156,33078,12636,10622,8545,1965,2047,0
0,3495675800,38,82619,40853,24809,3168,38728,12947,17084,9032,0
0,3558133500,51,82619,40853,24809,3168,38728,12947,17084,9032,0
0,3620280800,36,82619,40853,24809,3168,38728,12947,17084,9032,0
0,3682688400,11,82619,40853,24809,3168,38728,12947,17084,9032,0
0,3745173900,23,82619,40853,24809,3168,38728,12947,17084,9032,0
0,3807659100,65,82619,40853,24809,3168,38728,12947,17084,9032,0
0,3870157000,71,82619,40853,24809,3168,38728,12947,17084,9032,0
0,3932627500,102,82619,40853,24809,3168,38728,12947,17084,9032,0
0,3995115200,121,82619,40853,24809,3168,38728,12947,17084,9032,0
0,4057644300,80,82619,40853,24809,3168,38728,12947,17084,9032,0
0,4120086700,82,82619,40853,24809,3168,38728,12947,17084,9032,0
0,4182571000,-267,82619,40853,24809,3168,38728,12947,17084,9032,0
0,4245058000,-180,82619,40853,24809,3168,38728,12947,17084,9032,0
0,4307541100,-60,82619,40853,24809,3168,38728,12947,17084,9032,0
0,4370026000,86,82619,40853,24809,3168,38728,12947,17084,9032,0
0,4432510600,87,473620,131030,5393,49403,30546,8642,4488,2699,0
0,4494995100,117,473620,131030,5393,49403,30546,8642,4488,2699,0
0,4557480400,256,473620,131030,5393,49403,30546,8642,4488,2699,0
0,4619966100,-29,473620,131030,5393,49403,30546,8642,4488,2699,0
0,4682532600,-40,473620,131030,5393,49403,30546,8642,4488,2699,0
0,4744944500,-1,473620,131030,5393,49403,30546,8642,4488,2699,0
0,4808053900,58,473620,131030,5393,49403,30546,8642,4488,2699,0
0,4870340400,60,473620,131030,5393,49403,30546,8642,4488,2699,0
0,4932398800,48,473620,131030,5393,49403,30546,8642,4488,2699,0
0,5010501600,-270,473620,131030,5393,49403,30546,8642,4488,2699,0
0,5072993600,-1729,473620,131030,5393,49403,30546,8642,4488,2699,0
1,5135470400,-631,473620,131030,5393,49403,30546,8642,4488,2699,0
1,5198559300,1802,473620,131030,5393,49403,30546,8642,4488,2699,0
1,5260972000,1546,473620,131030,5393,49403,30546,8642,4488,2699,0
1,5323356800,583,473620,131030,5393,49403,30546,8642,4488,2699,0
1,5385548400,-468,473620,131030,5393,49403,30546,8642,4488,2699,0
1,5448321600,0,473620,131030,5393,49403,30546,8642,4488,2699,0
1,5510384400,-412,668014,44038,17524,13856,28091,3829,3834,1602,51
1,5573325300,57,668014,44038,17524,13856,28091,3829,3834,1602,51
1,5635357100,-183,668014,44038,17524,13856,28091,3829,3834,1602,51
1,5697877300,165,668014,44038,17524,13856,28091,3829,3834,1602,51
1,5760323100,240,668014,44038,17524,13856,28091,3829,3834,1602,51
1,5822810200,145,668014,44038,17524,13856,28091,3829,3834,1602,51
1,5885294800,-275,668014,44038,17524,13856,28091,3829,3834,1602,51
1,5947840000,-124,668014,44038,17524,13856,28091,3829,3834,1602,51
1,6010264600,44,668014,44038,17524,13856,28091,3829,3834,1602,51
1,6072750600,-229,668014,44038,17524,13856,28091,3829,3834,1602,51
1,6135236500,48,668014,44038,17524,13856,28091,3829,3834,1602,51
1,6197721800,-86,668014,44038,17524,13856,28091,3829,3834,1602,51
1,6260206000,320,668014,44038,17524,13856,28091,3829,3834,1602,51
1,6322692900,-356,668014,44038,17524,13856,28091,3829,3834,1602,51
1,6385176600,677,668014,44038,17524,13856,28091,3829,3834,1602,51
1,6447661600,-517,1610871,414568,171692,457428,276916,270890,98165,30510,0
1,6510148600,-369,1610871,414568,171692,457428,276916,270890,98165,30510,0
1,6572643200,308,1610871,414568,171692,457428,276916,270890,98165,30510,0
1,6635120100,-327,1610871,414568,171692,457428,276916,270890,98165,30510,0
1,6697928400,-265,1610871,414568,171692,457428,276916,270890,98165,30510,0
1,6760724400,-97,1610871,414568,171692,457428,276916,270890,98165,30510,0
1,6823192300,-55,1610871,414568,171692,457428,276916,270890,98165,30510,0
0,6885152800,332,1610871,414568,171692,457428,276916,270890,98165,30510,0
0,6947993500,422,1610871,414568,171692,457428,276916,270890,98165,30510,0
0,7010451900,336,1610871,414568,171692,457428,276916,270890,98165,30510,0
0,7072941100,378,1610871,414568,171692,457428,276916,270890,98165,30510,0
0,7135299200,4,1610871,414568,171692,457428,276916,270890,98165,30510,0
0,7197906600,517,1610871,414568,171692,457428,276916,270890,98165,30510,0
0,7260569300,634,1610871,414568,171692,457428,276916,270890,98165,30510,0
0,7323018700,-562,1610871,414568,171692,457428,276916,270890,98165,30510,0
0,7384988100,-565,1610871,414568,171692,457428,276916,270890,98165,30510,0
0,7447852700,71,353415,25461,9493,36509,12450,10206,3470,1852,0
0,7509912300,218,353415,25461,9493,36509,12450,10206,3470,1852,0
0,7572398500,149,353415,25461,9493,36509,12450,10206,3470,1852,0
0,7634883000,-85,353415,25461,9493,36509,12450,10206,3470,1852,0
0,7697427900,-179,353415,25461,9493,36509,12450,10206,3470,1852,0
0,7759856400,146,353415,25461,9493,36509,12450,10206,3470,1852,0
0,7822340100,218,353415,25461,9493,36509,12450,10206,3470,1852,0
0,7884824300,305,353415,25461,9493,36509,12450,10206,3470,1852,0
0,7947309400,278,353415,25461,9493,36509,12450,10206,3470,1852,0
0,8009834700,208,353415,25461,9493,36509,12450,10206,3470,1852,0
0,8072320700,-12,353415,25461,9493,36509,12450,10206,3470,1852,0
0,8135425200,-305,353415,25461,9493,36509,12450,10206,3470,1852,0
0,8197811500,-76,353415,25461,9493,36509,12450,10206,3470,1852,0
0,8260159800,-73,353415,25461,9493,36509,12450,10206,3470,1852,0
0,8322647800,118,353415,25461,9493,36509,12450,10206,3470,1852,0
0,8385129200,171,353415,25461,9493,36509,12450,10206,3470,1852,0
0,8447421600,315,800243,282886,74875,10320,33608,16438,18423,2060,0
0,8509682300,243,800243,282886,74875,10320,33608,16438,18423,2060,0
0,8572168000,217,800243,282886,74875,10320,33608,16438,18423,2060,0
0,8634971400,36,800243,282886,74875,10320,33608,16438,18423,2060,0
0,8697554700,-92,800243,282886,74875,10320,33608,16438,18423,2060,0
0,8759634000,-145,800243,282886,74875,10320,33608,16438,18423,2060,0
0,8822111200,-29,800243,282886,74875,10320,33608,16438,18423,2060,0
0,8885202500,19,800243,282886,74875,10320,33608,16438,18423,2060,0
0,8947500000,-124,800243,282886,74875,10320,33608,16438,18423,2060,0
0,9009573000,-36,800243,282886,74875,10320,33608,16438,18423,2060,0
0,9072046100,-58,800243,282886,74875,10320,33608,16438,18423,2060,0
0,9135186700,-139,800243,282886,74875,10320,33608,16438,18423,2060,0
0,9197437200,163,800243,282886,74875,10320,33608,16438,18423,2060,0
0,9259922700,418,800243,282886,74875,10320,33608,16438,18423,2060,0
0,9322410100,23,800243,282886,74875,10320,33608,16438,18423,2060,0
0,9384475800,-101,800243,282886,74875,10320,33608,16438,18423,2060,0
0,9446997200,-107,1843192,161835,203521,117436,37409,34136,25212,10975,0
0,9509483200,-89,1843192,161835,203521,117436,37409,34136,25212,10975,0
0,9571965800,36,1843192,161835,203521,117436,37409,34136,25212,10975,0
0,9634415500,136,1843192,161835,203521,117436,37409,34136,25212,10975,0
0,9696902300,115,1843192,161835,203521,117436,37409,34136,25212,10975,0
0,9759386700,-98,1843192,161835,203521,117436,37409,34136,25212,10975,0
0,9821872300,21,1843192,161835,203521,117436,37409,34136,25212,10975,0
